"","x"
"262","Group6"
"263","Group1"
"264","Group1"
"265","Group6"
"266","Group2"
"267","Group5"
"268","Group1"
"269","Group1"
"270","Group1"
"271","Group5"
"272","Group5"
"273","Group2"
"274","Group5"
"275","Group5"
"276","Group1"
"277","Group5"
"278","Group1"
"279","Group1"
"280","Group5"
"281","Group6"
"282","Group1"
"283","Group5"
"284","Group2"
"285","Group3"
"286","Group2"
"287","Group6"
"288","Group5"
"289","Group3"
"290","Group2"
"291","Group3"
"292","Group1"
"293","Group1"
"294","Group5"
"295","Group2"
"296","Group1"
"297","Group1"
"298","Group5"
"299","Group1"
"300","Group2"
"301","Group5"
"302","Group5"
"303","Group5"
"304","Group3"
"305","Group5"
"306","Group3"
"307","Group1"
"308","Group2"
"309","Group2"
"310","Group6"
"311","Group5"
"312","Group5"
"313","Group1"
"314","Group5"
"315","Group6"
"316","Group1"
"317","Group5"
"318","Group5"
"319","Group5"
"320","Group5"
"321","Group5"
"322","Group5"
"323","Group3"
"324","Group3"
"325","Group5"
"326","Group1"
"327","Group2"
"328","Group1"
"329","Group1"
"330","Group5"
"331","Group1"
"332","Group3"
"333","Group5"
"334","Group5"
"335","Group1"
"336","Group3"
"337","Group3"
"338","Group3"
"339","Group1"
"340","Group5"
"341","Group5"
"342","Group2"
"343","Group2"
"344","Group1"
"345","Group3"
"346","Group6"
"347","Group3"
"348","Group5"
"349","Group3"
"350","Group5"
"351","Group5"
"352","Group1"
"353","Group5"
"354","Group1"
"355","Group2"
"356","Group5"
"357","Group5"
"358","Group1"
"359","Group5"
"360","Group1"
"361","Group1"
"362","Group6"
"363","Group3"
"364","Group5"
"365","Group1"
"366","Group1"
"367","Group3"
"368","Group3"
"369","Group5"
"370","Group5"
"371","Group5"
"372","Group5"
"373","Group6"
"374","Group3"
"375","Group5"
"376","Group5"
"377","Group1"
"378","Group6"
"379","Group5"
"380","Group1"
"381","Group1"
"382","Group3"
"383","Group3"
"384","Group6"
"385","Group5"
"386","Group1"
"387","Group5"
"388","Group1"
"389","Group5"
"390","Group5"
"391","Group1"
"392","Group5"
"393","Group1"
"394","Group5"
"395","Group1"
"396","Group5"
"397","Group5"
"398","Group3"
"399","Group3"
"400","Group6"
"401","Group6"
"402","Group1"
"403","Group2"
"404","Group3"
"405","Group1"
"406","Group2"
"407","Group5"
"408","Group6"
"409","Group5"
"410","Group6"
"411","Group1"
"412","Group5"
"413","Group6"
"414","Group1"
"415","Group6"
"416","Group1"
"417","Group1"
"418","Group2"
"419","Group5"
"420","Group5"
"421","Group5"
"422","Group2"
"423","Group5"
"424","Group5"
"425","Group6"
"426","Group5"
"427","Group6"
"428","Group5"
"429","Group2"
"430","Group2"
"431","Group2"
"432","Group5"
"433","Group5"
"434","Group5"
"435","Group5"
"436","Group1"
"437","Group5"
"438","Group1"
"439","Group3"
"440","Group3"
"441","Group5"
"442","Group6"
"443","Group3"
"444","Group1"
"445","Group5"
"446","Group2"
"447","Group5"
"448","Group5"
"449","Group1"
"450","Group1"
"451","Group1"
"452","Group6"
"453","Group2"
"454","Group1"
"455","Group5"
"456","Group2"
"457","Group6"
"458","Group5"
"459","Group1"
"460","Group5"
"461","Group5"
"462","Group6"
"463","Group5"
"464","Group3"
"465","Group6"
"466","Group6"
"467","Group5"
"468","Group4"
"469","Group6"
"470","Group3"
"471","Group6"
"472","Group5"
"473","Group5"
"474","Group2"
"475","Group5"
"476","Group3"
"477","Group4"
"478","Group5"
"479","Group1"
"480","Group6"
"481","Group5"
"482","Group1"
"483","Group5"
"484","Group1"
"485","Group6"
"486","Group1"
"487","Group3"
"488","Group1"
"489","Group5"
"490","Group4"
"491","Group5"
"492","Group1"
"493","Group1"
"494","Group3"
"495","Group5"
"496","Group6"
"497","Group1"
"498","Group3"
"499","Group5"
"500","Group5"
"501","Group2"
"502","Group1"
"503","Group5"
"504","Group1"
"505","Group1"
"506","Group5"
"507","Group6"
"508","Group6"
"509","Group3"
"510","Group5"
"511","Group1"
"512","Group5"
"513","Group2"
"514","Group6"
"515","Group3"
"516","Group5"
"517","Group6"
"518","Group5"
"519","Group3"
"520","Group5"
"521","Group3"
"522","Group5"
"523","Group5"
"524","Group1"
"525","Group5"
"526","Group2"
"527","Group2"
"528","Group1"
"529","Group5"
"530","Group3"
"531","Group5"
"532","Group5"
"533","Group5"
"534","Group3"
"535","Group1"
"536","Group6"
"537","Group5"
"538","Group3"
"539","Group4"
"540","Group1"
"541","Group5"
"542","Group5"
"543","Group5"
"544","Group2"
"545","Group5"
"546","Group5"
"547","Group6"
"548","Group5"
"549","Group6"
"550","Group5"
"551","Group5"
"552","Group5"
"553","Group3"
"554","Group6"
"555","Group6"
"556","Group5"
"557","Group1"
"558","Group2"
"559","Group5"
"560","Group2"
"561","Group5"
"562","Group6"
"563","Group1"
"564","Group5"
"565","Group6"
"566","Group1"
"567","Group1"
"568","Group1"
"569","Group5"
"570","Group6"
"571","Group6"
"572","Group3"
"573","Group1"
"574","Group5"
"575","Group2"
"576","Group3"
"577","Group2"
"578","Group5"
"579","Group6"
"580","Group2"
"581","Group1"
"582","Group3"
"583","Group5"
"584","Group5"
"585","Group6"
"586","Group5"
"587","Group3"
"588","Group6"
"589","Group5"
"590","Group5"
"591","Group5"
"592","Group5"
"593","Group5"
"594","Group5"
"595","Group2"
"596","Group6"
"597","Group5"
"598","Group1"
"599","Group6"
"600","Group1"
"601","Group1"
"602","Group2"
"603","Group1"
"604","Group3"
"605","Group3"
"606","Group1"
"607","Group5"
"608","Group5"
"609","Group5"
"610","Group1"
"611","Group2"
"612","Group5"
"613","Group5"
"614","Group5"
"615","Group1"
"616","Group6"
"617","Group6"
"618","Group1"
"619","Group5"
"620","Group5"
"621","Group5"
"622","Group4"
"623","Group5"
"624","Group6"
"625","Group5"
"626","Group1"
"627","Group2"
"628","Group5"
"629","Group1"
"630","Group6"
"631","Group2"
"632","Group5"
"633","Group6"
"634","Group5"
"635","Group1"
"636","Group1"
"637","Group1"
"638","Group5"
"639","Group6"
"640","Group6"
"641","Group2"
"642","Group5"
"643","Group1"
"644","Group4"
"645","Group5"
"646","Group2"
"647","Group6"
"648","Group3"
"649","Group6"
"650","Group5"
"651","Group3"
"652","Group1"
"653","Group5"
"654","Group3"
"655","Group5"
"656","Group2"
"657","Group5"
"658","Group3"
"659","Group2"
"660","Group3"
"661","Group5"
"662","Group5"
"663","Group2"
"664","Group5"
"665","Group3"
"666","Group4"
"667","Group5"
"668","Group3"
"669","Group6"
"670","Group1"
"671","Group5"
"672","Group6"
"673","Group1"
"674","Group5"
"675","Group3"
"676","Group6"
"677","Group2"
"678","Group1"
"679","Group6"
"680","Group5"
"681","Group5"
"682","Group1"
"683","Group5"
"684","Group3"
"685","Group1"
"686","Group1"
"687","Group2"
"688","Group6"
"689","Group2"
"690","Group5"
"691","Group6"
"692","Group1"
"693","Group3"
"694","Group1"
"695","Group4"
"696","Group2"
"697","Group2"
"698","Group5"
"699","Group5"
"700","Group1"
"701","Group2"
"702","Group5"
"703","Group1"
"704","Group3"
"705","Group1"
"706","Group3"
"707","Group5"
"708","Group6"
"709","Group5"
"710","Group6"
"711","Group3"
"712","Group5"
"713","Group2"
"714","Group5"
"715","Group5"
"716","Group5"
"717","Group6"
"718","Group5"
"719","Group6"
"720","Group5"
"721","Group2"
"722","Group5"
"723","Group3"
"724","Group6"
"725","Group5"
"726","Group2"
"727","Group6"
"728","Group3"
"729","Group2"
"730","Group5"
"731","Group1"
"732","Group2"
"733","Group5"
"734","Group1"
"735","Group2"
"736","Group3"
"737","Group1"
"738","Group2"
"739","Group3"
"740","Group1"
"741","Group5"
"742","Group2"
"743","Group6"
"744","Group1"
"745","Group1"
"746","Group2"
"747","Group5"
"748","Group2"
"749","Group3"
"750","Group1"
