"","x"
"188","Group6"
"189","Group5"
"190","Group3"
"191","Group5"
"192","Group5"
"193","Group5"
"194","Group5"
"195","Group5"
"196","Group3"
"197","Group2"
"198","Group5"
"199","Group6"
"200","Group3"
"201","Group2"
"202","Group5"
"203","Group5"
"204","Group6"
"205","Group5"
"206","Group6"
"207","Group6"
"208","Group6"
"209","Group1"
"210","Group5"
"211","Group6"
"212","Group1"
"213","Group5"
"214","Group3"
"215","Group5"
"216","Group6"
"217","Group6"
"218","Group6"
"219","Group5"
"220","Group1"
"221","Group1"
"222","Group1"
"223","Group5"
"224","Group5"
"225","Group5"
"226","Group5"
"227","Group2"
"228","Group5"
"229","Group6"
"230","Group5"
"231","Group5"
"232","Group5"
"233","Group1"
"234","Group5"
"235","Group6"
"236","Group1"
"237","Group5"
"238","Group2"
"239","Group6"
"240","Group5"
"241","Group5"
"242","Group5"
"243","Group2"
"244","Group3"
"245","Group5"
"246","Group1"
"247","Group1"
"248","Group6"
"249","Group5"
"250","Group2"
"251","Group5"
"252","Group5"
"253","Group1"
"254","Group2"
"255","Group6"
"256","Group6"
"257","Group1"
"258","Group6"
"259","Group5"
"260","Group2"
"261","Group3"
"262","Group3"
"263","Group5"
"264","Group1"
"265","Group5"
"266","Group1"
"267","Group1"
"268","Group1"
"269","Group5"
"270","Group6"
"271","Group2"
"272","Group6"
"273","Group1"
"274","Group5"
"275","Group5"
"276","Group5"
"277","Group1"
"278","Group2"
"279","Group5"
"280","Group6"
"281","Group1"
"282","Group5"
"283","Group5"
"284","Group5"
"285","Group1"
"286","Group1"
"287","Group5"
"288","Group5"
"289","Group2"
"290","Group6"
"291","Group1"
"292","Group1"
"293","Group6"
"294","Group1"
"295","Group6"
"296","Group2"
"297","Group5"
"298","Group3"
"299","Group5"
"300","Group1"
"301","Group5"
"302","Group5"
"303","Group5"
"304","Group5"
"305","Group6"
"306","Group5"
"307","Group5"
"308","Group1"
"309","Group6"
"310","Group5"
"311","Group5"
"312","Group5"
"313","Group5"
"314","Group6"
"315","Group5"
"316","Group5"
"317","Group5"
"318","Group1"
"319","Group5"
"320","Group5"
"321","Group5"
"322","Group3"
"323","Group2"
"324","Group5"
"325","Group1"
"326","Group6"
"327","Group6"
"328","Group3"
"329","Group6"
"330","Group5"
"331","Group5"
"332","Group6"
"333","Group1"
"334","Group5"
"335","Group5"
"336","Group5"
"337","Group6"
"338","Group4"
"339","Group3"
"340","Group1"
"341","Group1"
"342","Group3"
"343","Group5"
"344","Group5"
"345","Group5"
"346","Group1"
"347","Group6"
"348","Group6"
"349","Group1"
"350","Group5"
"351","Group2"
"352","Group5"
"353","Group1"
"354","Group1"
"355","Group1"
"356","Group6"
"357","Group1"
"358","Group1"
"359","Group5"
"360","Group5"
"361","Group5"
"362","Group6"
"363","Group5"
"364","Group3"
"365","Group5"
"366","Group5"
"367","Group5"
"368","Group5"
"369","Group4"
"370","Group6"
"371","Group5"
"372","Group5"
"373","Group1"
"374","Group6"
"375","Group5"
"376","Group5"
"377","Group6"
"378","Group5"
"379","Group5"
"380","Group6"
"381","Group5"
"382","Group1"
"383","Group6"
"384","Group6"
"385","Group5"
"386","Group1"
"387","Group1"
"388","Group6"
"389","Group5"
"390","Group4"
"391","Group5"
"392","Group6"
"393","Group5"
"394","Group1"
"395","Group5"
"396","Group5"
"397","Group3"
"398","Group3"
"399","Group5"
"400","Group5"
"401","Group2"
"402","Group5"
"403","Group5"
"404","Group5"
"405","Group1"
"406","Group6"
"407","Group6"
"408","Group5"
"409","Group6"
"410","Group5"
"411","Group6"
"412","Group5"
"413","Group1"
"414","Group6"
"415","Group1"
"416","Group1"
"417","Group5"
"418","Group5"
"419","Group3"
"420","Group1"
"421","Group5"
"422","Group1"
"423","Group5"
"424","Group6"
"425","Group3"
"426","Group5"
"427","Group1"
"428","Group6"
"429","Group5"
"430","Group3"
"431","Group3"
"432","Group1"
"433","Group5"
"434","Group1"
"435","Group1"
"436","Group5"
"437","Group1"
"438","Group1"
"439","Group1"
"440","Group1"
"441","Group5"
"442","Group2"
"443","Group2"
"444","Group3"
"445","Group5"
"446","Group5"
"447","Group6"
"448","Group3"
"449","Group5"
"450","Group1"
"451","Group4"
"452","Group5"
"453","Group1"
"454","Group5"
"455","Group2"
"456","Group2"
"457","Group6"
"458","Group6"
"459","Group1"
"460","Group1"
"461","Group5"
"462","Group1"
"463","Group6"
"464","Group6"
"465","Group1"
"466","Group1"
"467","Group5"
"468","Group6"
"469","Group3"
"470","Group5"
"471","Group1"
"472","Group2"
"473","Group6"
"474","Group5"
"475","Group6"
"476","Group2"
"477","Group5"
"478","Group6"
"479","Group2"
"480","Group1"
"481","Group5"
"482","Group5"
"483","Group5"
"484","Group5"
"485","Group6"
"486","Group2"
"487","Group5"
"488","Group5"
"489","Group3"
"490","Group6"
"491","Group2"
"492","Group5"
"493","Group5"
"494","Group5"
"495","Group5"
"496","Group3"
"497","Group4"
"498","Group5"
"499","Group6"
"500","Group1"
"501","Group1"
"502","Group6"
"503","Group2"
"504","Group1"
"505","Group6"
"506","Group1"
"507","Group1"
"508","Group5"
"509","Group5"
"510","Group3"
"511","Group5"
"512","Group6"
"513","Group6"
"514","Group3"
"515","Group5"
"516","Group5"
"517","Group1"
"518","Group5"
"519","Group5"
"520","Group5"
"521","Group5"
"522","Group1"
"523","Group3"
"524","Group5"
"525","Group5"
"526","Group1"
"527","Group2"
"528","Group2"
"529","Group1"
"530","Group2"
"531","Group6"
"532","Group5"
"533","Group5"
"534","Group5"
"535","Group5"
"536","Group6"
"537","Group5"
"538","Group6"
"539","Group3"
"540","Group6"
"541","Group3"
"542","Group5"
"543","Group5"
"544","Group4"
"545","Group2"
"546","Group6"
"547","Group5"
"548","Group1"
"549","Group6"
"550","Group5"
"551","Group3"
"552","Group3"
"553","Group5"
"554","Group5"
"555","Group3"
"556","Group5"
"557","Group6"
"558","Group2"
"559","Group1"
"560","Group5"
"561","Group3"
"562","Group3"
"563","Group1"
"564","Group5"
"565","Group1"
"566","Group6"
"567","Group5"
"568","Group5"
"569","Group1"
"570","Group2"
"571","Group6"
"572","Group2"
"573","Group5"
"574","Group6"
"575","Group6"
"576","Group2"
"577","Group1"
"578","Group6"
"579","Group5"
"580","Group2"
"581","Group6"
"582","Group6"
"583","Group1"
"584","Group5"
"585","Group6"
"586","Group2"
"587","Group6"
"588","Group5"
"589","Group2"
"590","Group5"
"591","Group2"
"592","Group3"
"593","Group6"
"594","Group2"
"595","Group3"
"596","Group5"
"597","Group4"
"598","Group1"
"599","Group5"
"600","Group1"
